eta,attack,drift,shots,p_conventional_secure,p_uvif_stable,finite_key_margin_mean,uvif_score_mean,resource_force_mean,n_eff_mean
0.0695,0.2,0.005,2000,0.7625,0.0,0.035010718294096604,0.15615692858988117,1.2839623660917725,1917.0
0.073,0.2,0.005,2000,0.5625,0.0,0.004280651296662066,0.14709315459058064,1.2839623660917725,1917.0
0.0765,0.2,0.005,2000,0.375,0.0,-0.01496430006372274,0.14152117138185769,1.2839623660917725,1917.0
0.08,0.2,0.005,2000,0.1625,0.0,-0.03412247431150604,0.13612150405657672,1.2839623660917725,1917.0
0.08349999999999999,0.2,0.005,2000,0.075,0.0,-0.05750807407773177,0.12971364351083955,1.2839623660917725,1917.0
0.087,0.2,0.005,2000,0.0125,0.0,-0.08649551478498785,0.12201562673727309,1.2839623660917725,1917.0
0.0905,0.2,0.005,2000,0.0125,0.0,-0.09995631129889264,0.11860318023343171,1.2839623660917725,1917.0
0.094,0.2,0.005,2000,0.0,0.0,-0.10723248197795798,0.11672688296236537,1.2839623660917725,1917.0
0.0975,0.2,0.005,2000,0.0,0.0,-0.1489628569680416,0.10644105534395343,1.2839623660917725,1917.0
0.10099999999999999,0.2,0.005,2000,0.0,0.0,-0.16231804024915597,0.10333955604780894,1.2839623660917725,1917.0
0.1045,0.2,0.005,2000,0.0,0.0,-0.17688998590463206,0.09990428704659138,1.2839623660917725,1917.0
0.108,0.2,0.005,2000,0.0,0.0,-0.20210663229197082,0.09438577112421603,1.2839623660917725,1917.0
0.1115,0.2,0.005,2000,0.0,0.0,-0.21207836895128787,0.09224031879836234,1.2839623660917725,1917.0
0.11499999999999999,0.2,0.005,2000,0.0,0.0,-0.2361727968629249,0.08711088027349714,1.2839623660917725,1917.0
0.1185,0.2,0.005,2000,0.0,0.0,-0.24437796769550707,0.08545096914912728,1.2839623660917725,1917.0
0.122,0.2,0.005,2000,0.0,0.0,-0.26733591522654077,0.08081512269806398,1.2839623660917725,1917.0
0.1255,0.2,0.005,2000,0.0,0.0,-0.2911096441598796,0.07623764389400584,1.2839623660917725,1917.0
0.129,0.2,0.005,2000,0.0,0.0,-0.3118337697974053,0.07237074967227905,1.2839623660917725,1917.0
0.1325,0.2,0.005,2000,0.0,0.0,-0.321819138760699,0.07060596901431257,1.2839623660917725,1917.0
0.136,0.2,0.005,2000,0.0,0.0,-0.32742305106971303,0.06957400914150366,1.2839623660917725,1917.0
0.1395,0.2,0.005,2000,0.0,0.0,-0.36036349554134056,0.06393108110417459,1.2839623660917725,1917.0
0.14300000000000002,0.2,0.005,2000,0.0,0.0,-0.3738849394946662,0.061717135178587124,1.2839623660917725,1917.0
0.14650000000000002,0.2,0.005,2000,0.0,0.0,-0.38988248259236935,0.05915635825594413,1.2839623660917725,1917.0
0.15000000000000002,0.2,0.005,2000,0.0,0.0,-0.40550112995510545,0.056804377801147665,1.2839623660917725,1917.0
