drift,attack,eta,p_qber_only,p_finite_key_margin,p_uvif_no_resource,p_full_uvif,qber_obs_mean,finite_key_margin_mean,uvif_score_no_resource_mean,uvif_score_full_mean,resource_force_mean
0.005,0.1,0.11499999999999999,0.0,0.0,0.0,0.0,0.13470046082949308,-0.17330970725167252,0.18274181765453343,0.1817616585313837,0.011961234531527198
0.005,0.1,0.1185,0.0,0.0,0.0,0.0,0.13821402969790067,-0.19199975510374145,0.17562263512222834,0.17467252212475404,0.011961234531527198
0.005,0.1,0.122,0.0,0.0,0.0,0.0,0.14244342037890426,-0.2141149182544903,0.16739542648932357,0.16648083615964943,0.011961234531527198
0.005,0.1,0.1255,0.0,0.0,0.0,0.0,0.14498003072196622,-0.22717390222624773,0.1626475353135125,0.16175384826905592,0.011961234531527198
0.005,0.1,0.129,0.0,0.0,0.0,0.0,0.14827547363031235,-0.24393399969784738,0.15665765312522864,0.15579072376907316,0.011961234531527198
0.005,0.1,0.1325,0.0,0.0,0.0,0.0,0.15220993343573988,-0.26358664244087493,0.14981947496965303,0.14898372935446147,0.011961234531527198
0.005,0.1,0.136,0.0,0.0,0.0,0.0,0.1556989247311828,-0.2807303193355812,0.14399819600327018,0.14318945778744693,0.011961234531527198
0.005,0.1,0.1395,0.0,0.0,0.0,0.0,0.15976753712237582,-0.3004073352070948,0.13748218051716682,0.1367041703600857,0.011961234531527198
0.005,0.1,0.14300000000000002,0.0,0.0,0.0,0.0,0.16266052227342548,-0.3142037814397062,0.13301586621893285,0.1322592074851435,0.011961234531527198
0.005,0.1,0.14650000000000002,0.0,0.0,0.0,0.0,0.16659088581669226,-0.33260810415755054,0.12722126671590836,0.12649277807765721,0.011961234531527198
0.005,0.1,0.15000000000000002,0.0,0.0,0.0,0.0,0.1700911418330773,-0.34872504381325925,0.12227939109293588,0.12157527322342902,0.011961234531527198
0.005,0.1,0.15350000000000003,0.0,0.0,0.0,0.0,0.17306298003072196,-0.36225221246481937,0.11821506512840957,0.1175311798481672,0.011961234531527198
0.005,0.1,0.157,0.0,0.0,0.0,0.0,0.17659088581669227,-0.3780358607769396,0.11359751597394631,0.11293693185919401,0.011961234531527198
0.005,0.1,0.1605,0.0,0.0,0.0,0.0,0.1798084997439836,-0.3922331839487489,0.10953860636101323,0.10889871591634902,0.011961234531527198
0.005,0.1,0.164,0.0,0.0,0.0,0.0,0.18325448028673835,-0.4071756839483019,0.1053793539081951,0.10476092489059603,0.011961234531527198
0.005,0.1,0.1675,0.0,0.0,0.0,0.0,0.1871530977982591,-0.42387299429078135,0.10083620440775412,0.10024141917131404,0.011961234531527198
0.005,0.1,0.171,0.0,0.0,0.0,0.0,0.19072708653353815,-0.43893840050229715,0.09684396113021819,0.0962701650771903,0.011961234531527198
