eta,attack,drift,shots,qber_obs_mean,qber_obs_sd,n_eff_mean,finite_key_margin_mean,finite_key_margin_sd,psi_mean,p_conventional_secure,p_conventional_transition,p_conventional_insecure,uvif_energy_mean,uvif_energy_sd,uvif_score_mean,p_uvif_stable,p_uvif_transition,p_uvif_unstable,risk_force_mean,uncertainty_force_mean,complexity_force_mean,resource_force_mean,leakage_force_mean,stability_reward_mean,dp_conventional_secure_deta,dp_uvif_stable_deta,d_uvif_score_deta,profile
0.157,0.1,0.005,10000,0.1765908858166923,0.0038996638026794375,9765.0,-0.3780358607769396,0.01731250984335725,-3.4366896434267242,0.0,0.0,1.0,2.062033878443156,0.049750243139727486,0.11293693185919404,0.0,0.0,1.0,1.6053716892426566,0.03748286026760638,0.004405386119183518,0.011961234531527198,0.20194316436251922,-0.36090735552273023,0.0,0.0,-1.2332091331168868,"a=0.10, d=0.005"
0.1605,0.1,0.005,10000,0.1798084997439836,0.00385048464292303,9765.0,-0.3922331839487489,0.016876594361071105,-3.5657562177158986,0.0,0.0,1.0,2.1029620508134705,0.04879336683140141,0.10889871591634902,0.0,0.0,1.0,1.634622724945306,0.037865189782102286,0.004389757715280264,0.011961234531527198,0.20435637480798774,-0.3731933999277253,0.0,0.0,-1.168000995514003,"a=0.10, d=0.005"
0.164,0.1,0.005,10000,0.18325448028673835,0.0042939881570844204,9765.0,-0.40717568394830195,0.01844458836990459,-3.7015971268027448,0.0,0.0,1.0,2.1465478582993036,0.05405092282124271,0.10476092489059602,0.0,0.0,1.0,1.6659498207885304,0.03826749507925709,0.004529711492636608,0.011961234531527198,0.2069408602150538,-0.38596100987189835,0.0,0.0,-1.236756677862136,"a=0.10, d=0.005"
0.1675,0.1,0.005,10000,0.1871530977982591,0.00390979041872441,9765.0,-0.42387299429078135,0.016591260292140978,-3.8533908571889213,0.0,0.0,1.0,2.1954928946650143,0.04891452572193909,0.10024141917131406,0.0,0.0,1.0,1.7013917981659918,0.03871697366901236,0.004433640552995392,0.011961234531527198,0.20986482334869433,-0.40009676728678045,0.0,0.0,-1.2129656876293904,"a=0.10, d=0.005"
0.171,0.1,0.005,10000,0.19072708653353815,0.00332719435410311,9765.0,-0.43893840050229704,0.013906326917339243,-3.9903490954754286,0.0,0.0,1.0,2.24005714679037,0.04135925090170108,0.09627016507719027,0.0,0.0,1.0,1.7338826048503466,0.03912244237111345,0.004312536238004637,0.011961234531527198,0.2125453149001536,-0.41269866897143287,0.0,0.0,-1.052919523252756,"a=0.10, d=0.005"
0.17450000000000002,0.1,0.005,10000,0.1939774705581157,0.0045844231749061,9765.0,-0.45230588774931446,0.018777481710427035,-4.111871706811949,0.0,0.0,1.0,2.280359420811701,0.05660958076645813,0.09287098250854477,0.0,0.0,1.0,1.763431550528325,0.039482108405262284,0.004581661778983043,0.011961234531527198,0.2149831029185868,-0.4236710566118325,0.0,0.0,-1.127385372251176,"a=0.10, d=0.005"
0.17800000000000002,0.1,0.005,10000,0.19838709677419353,0.0041472866470835595,9765.0,-0.4702876278991118,0.016701318970466665,-4.2753420718101065,0.0,0.0,1.0,2.33465303254028,0.05094530570423927,0.08837846747143203,0.0,0.0,1.0,1.8035190615835777,0.03996587826548347,0.004500107247762775,0.011961234531527198,0.21829032258064515,-0.43833390665792193,0.0,0.0,-1.0930455125558574,"a=0.10, d=0.005"
0.18150000000000002,0.1,0.005,10000,0.20164976958525344,0.004258475553464294,9765.0,-0.48333089717077043,0.016902968698293205,-4.393917247007004,0.0,0.0,1.0,2.3745606215303803,0.051986338006879074,0.08521966392065375,0.0,0.0,1.0,1.8331797235023044,0.04031670866548385,0.004534923334778831,0.011961234531527198,0.22073732718894007,-0.44880588670395255,0.0,0.0,-0.9484758348445599,"a=0.10, d=0.005"
0.18500000000000003,0.1,0.005,10000,0.20538863287250383,0.0041425945947623785,9765.0,-0.4980614337880149,0.016172217021173243,-4.527831216254682,0.0,0.0,1.0,2.4199947798933277,0.05027732907525765,0.08173913662752011,0.0,0.0,1.0,1.867169389750035,0.04071285992233016,0.004471703952109151,0.011961234531527198,0.22354147465437788,-0.4604973011317632,0.0,0.0,-0.8370004190660154,"a=0.10, d=0.005"
0.1885,0.1,0.005,10000,0.208068612391193,0.004733186596009013,9765.0,-0.5084161764778033,0.018259889546394174,-4.621965240707304,0.0,0.0,1.0,2.4524233476497947,0.05710755017513204,0.07936066098719166,0.0,0.0,1.0,1.891532839919937,0.040991275608286554,0.004640549643806392,0.011961234531527198,0.22555145929339482,-0.468589595188605,0.0,0.0,-0.7843713787555995,"a=0.10, d=0.005"
0.192,0.1,0.005,10000,0.21166513056835637,0.004534551330577168,9765.0,-0.5221922050855037,0.01717792817025587,-4.747201864413671,0.0,0.0,1.0,2.4956822737866355,0.05437647202445111,0.07624853697623092,0.0,0.0,1.0,1.9242284597123307,0.041361650049996986,0.004591760927171231,0.011961234531527198,0.2282488479262673,-0.4792823174689581,0.0,0.0,-0.8718898099909058,"a=0.10, d=0.005"
0.1955,0.1,0.005,10000,0.21524935995903743,0.0036946466458388965,9765.0,-0.5357407612537686,0.013795304032138349,-4.870370556852441,0.0,0.0,1.0,2.5385162466792575,0.04405908821458348,0.07325743231725532,0.0,0.0,1.0,1.956812363263976,0.04172586023949229,0.004382540985993915,0.011961234531527198,0.23093701996927807,-0.4896870035244927,0.0,0.0,-0.7741049834679252,"a=0.10, d=0.005"
0.199,0.1,0.005,10000,0.21832974910394262,0.00441638090241572,9765.0,-0.5471097670702579,0.016218664443894765,-4.973725155184162,0.0,0.0,1.0,2.5751737926397014,0.05237158764416238,0.07082980209195544,0.0,0.0,1.0,1.984815900944933,0.04203141093351392,0.004538267560224934,0.011961234531527198,0.23324731182795694,-0.498253351765024,0.0,0.0,-0.7017903285711586,"a=0.10, d=0.005"
0.2025,0.1,0.005,10000,0.22157808499743983,0.0045033085494765035,9765.0,-0.5589699827085989,0.01637829579521464,-5.081545297350899,0.0,0.0,1.0,2.6136058465027987,0.05312816019581871,0.0683449000172572,0.0,0.0,1.0,2.014346227249453,0.042350131484553064,0.004519368942713414,0.011961234531527198,0.23568356374807986,-0.5071128864838972,0.0,0.0,-0.8113898102743686,"a=0.10, d=0.005"
0.20600000000000002,0.1,0.005,10000,0.22592933947772656,0.004395066195855527,9765.0,-0.5745981446672961,0.015614718922547835,-5.223619496975419,0.0,0.0,1.0,2.664836495194424,0.0515653079824928,0.06515007342003486,0.0,0.0,1.0,2.0539030861611507,0.042770047741170894,0.004560666387547722,0.011961234531527198,0.23894700460829493,-0.5186366767065833,0.0,0.0,-0.743791918895992,"a=0.10, d=0.005"
0.20950000000000002,0.1,0.005,10000,0.22877419354838707,0.003903760285737747,9765.0,-0.5846743830997415,0.013658225600040687,-5.315221664543105,0.0,0.0,1.0,2.6981012003141274,0.0455393937157876,0.06313835658498525,0.0,0.0,1.0,2.079765395894428,0.04304075524870272,0.004414900851811813,0.011961234531527198,0.24108064516129032,-0.5259842928158476,0.0,0.0,-0.6460546084129426,"a=0.10, d=0.005"
0.21300000000000002,0.1,0.005,10000,0.23248950332821297,0.003948645872280359,9765.0,-0.5975879132415455,0.013619374314199755,-5.432617393104957,0.0,0.0,1.0,2.741374813549517,0.0458418383816359,0.06062769116114425,0.0,0.0,1.0,2.113540939347391,0.04338763420886272,0.004427013545496101,0.011961234531527198,0.24386712749615977,-0.5352608507314524,0.0,0.0,-0.6532057916452576,"a=0.10, d=0.005"
0.21650000000000003,0.1,0.005,10000,0.23568151561699946,0.004392396197746091,9765.0,-0.6084774494845578,0.014917078541570221,-5.5316131771323445,0.0,0.0,1.0,2.7783771893923235,0.0507553884402889,0.05856591604346845,0.0,0.0,1.0,2.1425592328818137,0.04368010173157869,0.004518559279209545,0.011961234531527198,0.2462611367127496,-0.5429701383506941,0.0,0.0,-0.6712521914423313,"a=0.10, d=0.005"
0.22,0.1,0.005,10000,0.23992524321556577,0.004471424875796746,9765.0,-0.6227360744785183,0.014924031807691588,-5.661237040713802,0.0,0.0,1.0,2.8272859746861365,0.05141983206774631,0.05592892582104796,0.0,0.0,1.0,2.1811385746869623,0.044063009979710195,0.00450323474392253,0.011961234531527198,0.2494439324116744,-0.5529455647746242,0.0,0.0,-0.7534257778344292,"a=0.10, d=0.005"
